,cameraLocation,cameraNumber,cameraProject,Location 1,longitude,latitude,type
55,Light St and E Redwood St,56,Downtown,"(39.288820219599998, -76.613717079200001)",-76.6137170792,39.2888202196,cctv
56,N Calvert St and E Fayette St,57,Downtown,"(39.290387000000003, -76.612448000000001)",-76.612448,39.290387,cctv
57,S Calvert St and E Redwood St,58,Downtown,"(39.288933, -76.612025000000003)",-76.612025,39.288933,cctv
58,S Calvert St and E Lombard St,59,Downtown,"(39.287824999999998, -76.612134999999995)",-76.612135,39.287825,cctv
59,Guilford Ave and E Lexington St,60,Downtown,"(39.291245000000004, -76.611114000000001)",-76.611114,39.291245,cctv
60,South St and E Baltimore St,61,Downtown,"(39.289701000000001, -76.611047999999997)",-76.611048,39.289701,cctv
61,South St and Water St,62,Downtown,"(39.288566000000003, -76.610961000000003)",-76.610961,39.288566,cctv
62,N Holiday St and E Saratoga St,63,Downtown,"(39.292495000000002, -76.610354999999998)",-76.610355,39.292495,cctv
63,N Holiday St and E Fayette St,64,Downtown,"(39.290497999999999, -76.610275999999999)",-76.610276,39.290498,cctv
64,CommerceSt and E Lombard St,65,Downtown,"(39.287849000000001, -76.610116000000005)",-76.610116,39.287849,cctv
65,CommerceSt and E Pratt St,66,Downtown,"(39.286662, -76.610022000000001)",-76.610022,39.286662,cctv
66,Custom House Ave and ,67,Downtown,"(39.289210493896313, -76.609755456447601)",-76.6097554564,39.2892104939,cctv
67,S Gay St and E Baltimore St,68,Downtown,"(39.289771999999999, -76.608945000000006)",-76.608945,39.289772,cctv
68,S Gay St and Water St,69,Downtown,"(39.288623999999999, -76.608832000000007)",-76.608832,39.288624,cctv
69,E Saratoga St and E Lexington St,70,Downtown,"(39.291377722, -76.607829630400005)",-76.6078296304,39.291377722,cctv
70,Market Pl and E Lombard St,71,Downtown,"(39.287903999999997, -76.606943999999999)",-76.606944,39.287904,cctv
71,Pearl St and W Lexington St,72,Downtown,"(39.291325000000001, -76.624647999999993)",-76.624648,39.291325,cctv
72,N Greene St and W Mulberry St,73,Downtown,"(39.293779000000001, -76.623930000000001)",-76.62393,39.293779,cctv
73,Druid Hill Ave and Saint Mary St,74,Downtown,"(39.297505383100003, -76.622871458500001)",-76.6228714585,39.2975053831,cctv
74,Pennsylvania Ave and Saint Mary St,75,Downtown,"(39.295821990357901, -76.625062823295593)",-76.6250628233,39.2958219904,cctv
75,N Eutaw St and W Monument St,76,Downtown,"(39.297269, -76.621448000000001)",-76.621448,39.297269,cctv
76,Saratoga and Charles,77,Downtown,"(39.292327, -76.615414000000001)",-76.615414,39.292327,cctv
77,Saint Paul St and Franklin,78,Downtown,"(39.295109528266927, -76.613870884137015)",-76.6138708841,39.2951095283,cctv
78,Charles and Fayette,79,Downtown,"(39.290628181254959, -76.614485357323218)",-76.6144853573,39.2906281813,cctv
79,E Fayette St and N Broadway,201,Broadway,"(39.293968, -76.594116999999997)",-76.594117,39.293968,cctv
80,E Fairmount Ave and N Broadway,202,Broadway,"(39.292631999999998, -76.594029000000006)",-76.594029,39.292632,cctv
81,E Baltimore St and S Broadway,203,Broadway,"(39.291542, -76.593943999999993)",-76.593944,39.291542,cctv
82,E Baltimore St and S Ann St,204,Broadway,"(39.291615999999998, -76.591776999999993)",-76.591777,39.291616,cctv
83,E Baltimore St and S Washington St,205,Broadway,"(39.291747000000001, -76.589201000000003)",-76.589201,39.291747,cctv
84,E Lombard St and S Broadway,206,Broadway,"(39.290399000000001, -76.593868999999998)",-76.593869,39.290399,cctv
85,E Lombard St and S Ann St,207,Broadway,"(39.290498999999997, -76.591710000000006)",-76.59171,39.290499,cctv
86,E Lombard St and S Durham St,208,Broadway,"(39.290520000000001, -76.591047000000003)",-76.591047,39.29052,cctv
87,E Lombard St and S Chapel St,209,Broadway,"(39.290554999999998, -76.589748999999998)",-76.589749,39.290555,cctv
88,E Lombard St and S Washington St,210,Broadway,"(39.290573000000002, -76.589106000000001)",-76.589106,39.290573,cctv
89,E Pratt St and S Broadway,211,Broadway,"(39.289256999999999, -76.593802999999994)",-76.593803,39.289257,cctv
90,E Pratt St and N Bond St,212,Broadway,"(39.289139912544471, -76.595711410045624)",-76.59571141,39.2891399125,cctv
91,Gough St and S Broadway,213,Broadway,"(39.287623000000004, -76.593704000000002)",-76.593704,39.287623,cctv
92,GoughSt and S Regester St,214,Broadway,"(39.287695999999997, -76.592432000000002)",-76.592432,39.287696,cctv
93,Bank St and S Broadway,215,Broadway,"(39.286608999999999, -76.593637999999999)",-76.593638,39.286609,cctv
94,Bank St and S Bond St,216,Broadway,"(39.286512000000002, -76.595439999999996)",-76.59544,39.286512,cctv
95,Bank St and Caroline St,217,Broadway,"(39.286467999999999, -76.596843000000007)",-76.596843,39.286468,cctv
96,Eastern Ave and S Broadway,218,Broadway,"(39.285578000000001, -76.593557000000004)",-76.593557,39.285578,cctv
97,Eastern Ave and S Ann St,219,Broadway,"(39.285685999999998, -76.591406000000006)",-76.591406,39.285686,cctv
98,Fleet St and S Broadway,220,Broadway,"(39.284603873545841, -76.59356564283371)",-76.5935656428,39.2846038735,cctv
99,Fleet St and S Broadway St (East),221,Broadway,"(39.284564000000003, -76.593260000000001)",-76.59326,39.284564,cctv
100,Fleet St and S Ann St,222,Broadway,"(39.284725999999999, -76.591352999999998)",-76.591353,39.284726,cctv
101,Fleet St and S Caroline St,223,Broadway,"(39.284424999999999, -76.596723999999995)",-76.596724,39.284425,cctv
102,Fleet St and S Eden St,224,Broadway,"(39.284345999999999, -76.598245000000006)",-76.598245,39.284346,cctv
103,S Broadway and Aliceanna St (East),225,Broadway,"(39.283534695712298, -76.593184769153595)",-76.5931847692,39.2835346957,cctv
104,Aliceanna and Broadway (West),226,Broadway,"(39.283388308477349, -76.5944198688385)",-76.5944198688,39.2833883085,cctv
105,ThamesSt and S Broadway,227,Broadway,"(39.281841, -76.593125000000001)",-76.593125,39.281841,cctv
106,2708 Berea Rd (rear),301,Cherry Hill,"(39.250638607403452, -76.632866403297797)",-76.6328664033,39.2506386074,cctv
107,1312 Shellbanks (rear),302,Cherry Hill,"(39.251197184331552, -76.631438758982554)",-76.631438759,39.2511971843,cctv
108,Berea Rd and Slater Rd,303,Cherry Hill,"(39.250115999999998, -76.633009999999999)",-76.63301,39.250116,cctv
109,2711 Berea Rd. (rear),304,Cherry Hill,"(39.250272000000002, -76.632756000000001)",-76.632756,39.250272,cctv
110,ShellbanksRd and Blyden Rd,305,Cherry Hill,"(39.250484, -76.631866000000002)",-76.631866,39.250484,cctv
111,1301 Slater Rd. (rear),306,Cherry Hill,"(39.249631000000001, -76.632949999999994)",-76.63295,39.249631,cctv
112,Bldg1200 (rear),307,Cherry Hill,"(39.250543061206614, -76.631404906511307)",-76.6314049065,39.2505430612,cctv
113,Fisk Rd and Slater Rd,308,Cherry Hill,"(39.248756, -76.632199999999997)",-76.6322,39.248756,cctv
114,1201 Slater Rd (rear),309,Cherry Hill,"(39.249011000000003, -76.631996999999998)",-76.631997,39.249011,cctv
115,Giles Rd and Shellbanks Rd,310,Cherry Hill,"(39.249721000000001, -76.630346000000003)",-76.630346,39.249721,cctv
116,2701 Giles Rd (rear) and Shellbanks,311,Cherry Hill,"(39.249428669638661, -76.629800209298963)",-76.6298002093,39.2494286696,cctv
117,Sethlow Rd and Slater Rd,312,Cherry Hill,"(39.248398000000002, -76.630831000000001)",-76.630831,39.248398,cctv
118,Spelman Rd and Woodview Rd,313,Cherry Hill,"(39.248578999999999, -76.629266000000001)",-76.629266,39.248579,cctv
119,Woodview Rd and Round Rd,314,Cherry Hill,"(39.248612000000001, -76.628517000000002)",-76.628517,39.248612,cctv
120,Community Center (rear),315,Cherry Hill,"(39.248153355084071, -76.629756689071655)",-76.6297566891,39.2481533551,cctv
121,Community Center (rear),316,Cherry Hill,"(39.247172308883442, -76.629873686328978)",-76.6298736863,39.2471723089,cctv
122,Spelman Rd and Claflin Ct,317,Cherry Hill,"(39.247048999999997, -76.628801999999993)",-76.628802,39.247049,cctv
123,2822 Round Rd,318,Cherry Hill,"(39.246384231202612, -76.627666172059293)",-76.6276661721,39.2463842312,cctv
124,Spelman Rd and S Denham Cir,319,Cherry Hill,"(39.245922537637647, -76.62829926966279)",-76.6282992697,39.2459225376,cctv
125,2810 Denham Cr (side),320,Cherry Hill,"(39.245531977693837, -76.628935317859728)",-76.6289353179,39.2455319777,cctv
126,2822 Denham Cr (rear),321,Cherry Hill,"(39.244515154168433, -76.628793776035309)",-76.628793776,39.2445151542,cctv
127,2824 N Denham Cir,322,Cherry Hill,"(39.244607999999999, -76.628546999999998)",-76.628547,39.244608,cctv
128,2820 Spelman Rd,323,Cherry Hill,"(39.244870362228532, -76.627979725599289)",-76.6279797256,39.2448703622,cctv
129,Bridgeview Rd and Spelman Rd,324,Cherry Hill,"(39.24516942056394, -76.627357222537825)",-76.6273572225,39.2451694206,cctv
130,2917 S Denham Cir (rear),325,Cherry Hill,"(39.244194490124123, -76.627524631997332)",-76.627524632,39.2441944901,cctv
131,2901 Denham Cir (side),326,Cherry Hill,"(39.244337638991567, -76.626670767401492)",-76.6266707674,39.244337639,cctv
132,3301 Round Rd,327,Cherry Hill,"(39.244914000000001, -76.62585)",-76.62585,39.244914,cctv
133,911 Coppin Court (rear),328,Cherry Hill,"(39.245027999999998, -76.624986000000007)",-76.624986,39.245028,cctv
134,Coppin Ct and Bunche Rd,329,Cherry Hill,"(39.245410999999997, -76.624342999999996)",-76.624343,39.245411,cctv
135,Bethune Rd and Bunche Rd,330,Cherry Hill,"(39.245061, -76.623825999999994)",-76.623826,39.245061,cctv
136,3411 Round Rd (rear),331,Cherry Hill,"(39.244008002869499, -76.62424372659882)",-76.6242437266,39.2440080029,cctv
137,3401 Round Rd,332,Cherry Hill,"(39.244001683321713, -76.624478718517977)",-76.6244787185,39.2440016833,cctv
138,BethuneRd and Spelman Rd,333,Cherry Hill,"(39.243617999999998, -76.626069000000001)",-76.626069,39.243618,cctv
139,1019 Bethune Rd (rear),334,Cherry Hill,"(39.242728, -76.626791999999995)",-76.626792,39.242728,cctv
140,3430 Spelman Rd,335,Cherry Hill,"(39.242838999999996, -76.625677999999994)",-76.625678,39.242839,cctv
141,3456 Spelman Rd,336,Cherry Hill,"(39.242624999999997, -76.625282999999996)",-76.625283,39.242625,cctv
142,3446 Spelman Rd(ParkingLot),337,Cherry Hill,"(39.242224999999998, -76.625502999999995)",-76.625503,39.242225,cctv
143,Spellman Rd LLC#7076,338,Cherry Hill,"(39.242505390473198, -76.623955070972443)",-76.623955071,39.2425053905,cctv
144,3486 Spelman Rd,339,Cherry Hill,"(39.242170774792697, -76.62413024444065)",-76.6241302444,39.2421707748,cctv
145,Seagull Ave UMBC (rear),340,Cherry Hill,"(39.242914618344123, -76.622294783592224)",-76.6222947836,39.2429146183,cctv
146,Seagull Ave LLC#7076,341,Cherry Hill,"(39.243299999999998, -76.622775000000004)",-76.622775,39.2433,cctv
147,835 Seagull Ave (rear),342,Cherry Hill,"(39.244501652072167, -76.620795428752899)",-76.6207954288,39.2445016521,cctv
148,835 Seagull Ave,343,Cherry Hill,"(39.244782999999998, -76.621161000000001)",-76.621161,39.244783,cctv
149,Seagull Ave and Bethune Rd,344,Cherry Hill,"(39.245257000000002, -76.620875999999996)",-76.620876,39.245257,cctv
150,Carver Rd School,345,Cherry Hill,"(39.246365955380391, -76.624683290719986)",-76.6246832907,39.2463659554,cctv
151,Carver Rd and Bridgeview Rd,346,Cherry Hill,"(39.246813000000003, -76.625399999999999)",-76.6254,39.246813,cctv
152,2805 Carver Rd (rear),347,Cherry Hill,"(39.247805999999997, -76.625636)",-76.625636,39.247806,cctv
153,2627 Carver Rd,348,Cherry Hill,"(39.247836, -76.626255999999998)",-76.626256,39.247836,cctv
154,2609 Carver Rd,349,Cherry Hill,"(39.248641999999997, -76.625821999999999)",-76.625822,39.248642,cctv
155,2615 Carver Rd (circle),350,Cherry Hill,"(39.248449999999998, -76.625321999999997)",-76.625322,39.24845,cctv
