,rel_type,Location 1,longitude,latitude,type
75,Church,"5407 CHARLES ST Baltimore, MD ",-76.6297372,39.4154699,religious
76,Church,"2423 BIDDLE ST Baltimore, MD ",-76.5260694,39.3093234,religious
77,Church,"1613 GORSUCH AVE Baltimore, MD ",-76.5953618,39.321461,religious
78,Church,"255 MONROE ST Baltimore, MD ",-76.6327555,39.4584216,religious
79,Church,"4901 PARK HEIGHTS AVE Baltimore, MD ",-76.6725392,39.3468206,religious
80,Church,"3930 FLEET ST Baltimore, MD ",-76.5635603881,39.2860748,religious
81,Church,"4310 EDMONDSON AVE Baltimore, MD ",-76.6876946899,39.2938649,religious
82,Church,"5801 HARFORD RD Baltimore, MD ",-76.5584097453,39.35498265,religious
83,Church,"1617 SARATOGA ST Baltimore, MD ",0.0,0.0,religious
84,Church,"471 AISQUITH ST Baltimore, MD ",-76.6017298966,39.2965465862,religious
85,Church,"700 WILDWOOD PKWY Baltimore, MD ",-76.6845820689,39.29583735,religious
86,Church,"4408 LIBERTY HEIGHTS AVE Baltimore, MD ",-76.6923043,39.3306947,religious
87,Church,"5513 YORK RD Baltimore, MD ",-76.6095749,39.357236,religious
88,Church,"3531 BELAIR RD Baltimore, MD ",-76.5471528,39.341262,religious
89,Church,"1401 EDISON HWY Baltimore, MD ",-76.5725758163,39.3074648,religious
90,Church,"24 PRESTON ST Baltimore, MD ",0.0,0.0,religious
91,Church,"24 PRESTON ST Baltimore, MD ",0.0,0.0,religious
92,Church,"4302 GARRISON BLVD Baltimore, MD ",-76.6768858,39.3172304,religious
93,Church,"2035 BALTIMORE ST Baltimore, MD ",-76.5251439,39.295335,religious
94,Church,"1314 WINSTON AVE Baltimore, MD ",-76.5959527946,39.35008345,religious
95,Church,"5603 CHARLES ST Baltimore, MD ",-76.6297372,39.4154699,religious
96,Church,"501 MILTON AVE Baltimore, MD ",-76.7587644,39.3522913,religious
97,Church,"3001 BAKER ST Baltimore, MD ",-76.6676243,39.3056759,religious
98,Church,"1542 GILMOR ST Baltimore, MD ",0.0,0.0,religious
99,Church,"1901 FEDERAL ST Baltimore, MD ",0.0,0.0,religious
100,Church,"1214 SARATOGA ST Baltimore, MD ",0.0,0.0,religious
101,Church,"346 DENISON ST Baltimore, MD ",-76.6749155301,39.2915755,religious
102,Church,"346 DENISON ST Baltimore, MD ",-76.6749155301,39.2915755,religious
103,Church,"713 TESSIER ST Baltimore, MD ",-76.6245936,39.2966229,religious
104,Church,"2812 REISTERSTOWN RD Baltimore, MD ",-76.6544638796,39.32040345,religious
105,Church,"2201 GARRISON BLVD Baltimore, MD ",-76.6751505547,39.31231345,religious
106,Church,"1100 NORTH AVE Baltimore, MD ",0.0,0.0,religious
107,Church,"3201 GARRISON BLVD Baltimore, MD ",-76.6820863549,39.325476,religious
108,Church,"4238 PIMLICO RD Baltimore, MD ",-76.6637619776,39.3383813,religious
109,Church,"4239 PARK HEIGHTS AVE Baltimore, MD ",-76.6646846,39.3380581,religious
110,Church,"314 GILMOR ST Baltimore, MD ",0.0,0.0,religious
111,Church,"3008 GWYNNS FALLS PKWY Baltimore, MD ",-76.6693740408,39.3146112449,religious
112,Church,"3000 PARKSIDE DR Baltimore, MD ",-76.5742763263,39.33709075,religious
113,Church,"3900 GROVELAND AVE Baltimore, MD ",-76.684281,39.340862,religious
114,Church,"600 COOKS LN Baltimore, MD ",-76.702773,39.29308,religious
115,Church,"2204 MAYFIELD AVE Baltimore, MD ",-76.5818289445,39.32859645,religious
116,Church,"1804 KAVANAUGH ST Baltimore, MD ",-76.6468421743,39.3048562,religious
117,Church,"1133 GREENMOUNT AVE Baltimore, MD ",-76.6076627437,39.30361825,religious
118,Church,"3909 PENNINGTON AVE Baltimore, MD ",-76.5886153163,39.22949135,religious
119,Church,"1950 NORTH AVE Baltimore, MD ",0.0,0.0,religious
120,Church,"68 KOSSUTH ST Baltimore, MD ",0.0,0.0,religious
121,Church,"1100 HOMEWOOD AVE Baltimore, MD ",-76.6066633,39.3028666,religious
122,Church,"2552 GREENMOUNT AVE Baltimore, MD ",-76.609609,39.319393,religious
123,Church,"2005 CHASE ST Baltimore, MD ",0.0,0.0,religious
124,Church,"2140 HOFFMAN ST Baltimore, MD ",0.0,0.0,religious
125,Church,"2444 WASHINGTON BLVD Baltimore, MD ",-76.6516881,39.2676386,religious
126,Church,"5204 LIBERTY HEIGHTS AVE Baltimore, MD ",-76.7020309316,39.3337342,religious
