the_geom,BLDG_NUM,PRG__NUM,NAME,GRADES,ADDRESS,ZIPCODE,CATEGORY,TYPE,x_1,y_1
POINT (-76.58119287831792 39.3635441200617),219,219,Yorkwood,Pre-K - 5.,5931 Yorkwood Road,21239,ES,Traditional,1430747.59095,618266.168903
POINT (-76.6507999535173 39.26290154506147),220,220,Morrell Park,Pre-K - 8.,2601 Tolley Street,21230,PK8,Traditional,1411207.09394,581526.07178
POINT (-76.65493532154656 39.3658092891581),221,221,Mount Washington,Pre-K - 5.,1801 Sulgrave Avenue,21209,ES,Traditional,1409894.51487,619003.99748
POINT (-76.66771354854993 39.347740781329314),223,223,Pimlico,Pre-K - 8.,4849 Pimlico Road,21215,PK8,Traditional,1406305.65985,612409.360735
POINT (-76.69924060484982 39.34221098844377),224,224,Grove Park,Pre-K - 8.,5545 Kennison Avenue,21215,PK8,Traditional,1397396.31513,610364.29199
POINT (-76.63765711962425 39.2621123066031),225,225,Westport,Pre-K - 8.,2401 Nevada Street,21230,PK8,Traditional,1414929.52514,581253.11268
POINT (-76.6736654579797 39.26753509104957),226,226,Violetville,Pre-K - 8.,1207 Pine Heights Avenue,21229,PK8,Traditional,1404726.86806,583189.783019
POINT (-76.55231881775518 39.284235719852944),228,228,John Ruhrah,Pre-K - 8.,701 S. Rappolla Street,21224,PK8,Traditional,1439053.09205,589418.249237
POINT (-76.53862884231944 39.275785295365466),229,229,Holabird,Pre-K - 8.,1500 Imla Street,21224,PK8,Traditional,1442943.67286,586359.670708
POINT (-76.56625699112243 39.32141729795471),231,231,Brehms Lane,Pre-K - 5.,3536 Brehms Lane,21213,ES,Traditional,1435043.46392,602941.848502
POINT (-76.69761281354734 39.295520246236485),232,232,Thomas Jefferson,Pre-K - 8.,605 Dryden Drive,21229,PK8,Traditional,1397913.02998,593359.462155
POINT (-76.63377166793573 39.35754211706477),233,233,Roland Park,K - 8.,5207 Roland Avenue,21210,ES/MS,Traditional,1415890.22795,616016.092038
